City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,terrace,54.5163,-128.6035,3.95,93,75,1.54,CA,1731181431
84,kumeny,58.1089,49.9161,2.48,92,100,7.75,RU,1731181432
85,pisco,-13.7,-76.2167,21.03,64,0,5.14,PE,1731180866
86,vuktyl,63.8567,57.3094,-5.28,85,73,6.43,RU,1731181435
87,qaqortoq,60.7167,-46.0333,0.24,99,100,2.45,GL,1731181436
88,nemuro,43.3236,145.575,8.38,69,76,2.81,JP,1731181437
89,nova vicosa,-17.8919,-39.3719,26.78,79,67,5.84,BR,1731181240
90,kodiak,57.79,-152.4072,3.73,87,100,7.72,US,1731180647
91,port alfred,-33.5906,26.891,15.66,93,24,0.45,ZA,1731180992
92,puerto deseado,-47.7503,-65.8938,19.71,15,34,17.22,AR,1731181441
93,georgetown,5.4112,100.3354,27.96,78,20,2.57,MY,1731180620
94,sterling,39.0062,-77.4286,15.68,30,0,2.57,US,1731181429
95,codrington,-38.2667,141.9667,10.11,85,26,0.76,AU,1731181444
96,hilo,19.7297,-155.09,26.73,78,20,3.09,US,1731181447
97,la ronge,55.1001,-105.2842,7.14,53,40,4.63,CA,1731181448
98,alice springs,-23.7,133.8833,20.75,64,100,2.57,AU,1731181449
99,udachny,66.4167,112.4,-12.94,90,100,4.91,RU,1731180900
100,port mathurin,-19.6833,63.4167,24.29,88,35,7.23,MU,1731180867
101,armyansk,46.1092,33.6921,8.78,77,27,7.95,UA,1731181453
102,bethel,41.3712,-73.414,12.05,30,0,4.63,US,1731180887
103,axim,4.8699,-2.2405,25.93,85,72,3.13,GH,1731181456
104,trelissac,45.1977,0.7862,13.97,97,99,1.09,FR,1731181457
105,tobruk,32.0836,23.9764,18.44,65,40,2.15,LY,1731181458
106,khovd,48.0056,91.6419,-3.36,45,3,2.84,MN,1731181013
107,lormi,22.2833,81.7333,19.45,66,0,2.02,IN,1731181460
108,severo-yeniseyskiy,60.3725,93.0408,-9.89,86,100,5.94,RU,1731181461
109,avarua,-21.2078,-159.775,23.03,64,20,3.6,CK,1731181462
110,badger,64.8,-147.5333,-14.05,83,0,0.0,US,1731181463
111,loikaw,19.6742,97.2094,16.73,97,99,1.28,MM,1731181466
112,grytviken,-54.2811,-36.5092,-2.8,69,9,4.58,GS,1731180868
113,touros,-5.1989,-35.4608,26.26,74,20,6.46,BR,1731181468
114,laela,-8.5667,32.05,22.83,45,98,2.1,TZ,1731181469
115,fale old settlement,-9.3852,-171.2468,27.98,73,21,2.19,TK,1731181471
116,lionel town,17.8101,-77.2406,27.28,79,100,0.89,JM,1731181472
117,kamba,11.8486,3.6576,26.78,25,94,3.78,NG,1731181473
118,yendi,9.4427,-0.0099,28.06,37,97,1.47,GH,1731181474
119,petropavlovsk-kamchatsky,53.0452,158.6483,-10.67,67,75,4.0,RU,1731181049
120,ottumwa,41.02,-92.4113,10.3,92,100,6.69,US,1731181232
121,brookings,44.3114,-96.7984,8.4,97,100,8.23,US,1731181243
122,pacific grove,36.6177,-121.9166,20.36,64,0,3.09,US,1731181480
123,tiksi,71.6872,128.8694,-12.98,91,100,4.02,RU,1731180930
124,sisimiut,66.9395,-53.6735,-4.91,86,100,3.22,GL,1731181482
125,shihezi,44.3,86.0333,2.81,59,99,0.84,CN,1731181483
126,enewetak,11.3474,162.3373,28.37,78,37,6.54,MH,1731181372
127,san andres,12.5847,-81.7006,30.01,74,40,3.09,CO,1731181485
128,ambovombe,-25.1667,46.0833,23.12,84,52,0.81,MG,1731181486
129,rongelap,11.1635,166.8941,28.21,80,46,7.88,MH,1731181488
130,greymouth,-42.4667,171.2,13.48,87,26,0.19,NZ,1731181489
131,la ligua,-32.4524,-71.2311,23.74,41,0,4.19,CL,1731181490
132,poso,-1.3959,120.7524,24.74,86,8,1.76,ID,1731181491
133,hermanus,-34.4187,19.2345,17.11,80,52,6.81,ZA,1731180920
134,kyshtovka,56.555,76.6271,-3.8,92,100,9.25,RU,1731181494
135,punta arenas,-53.15,-70.9167,7.06,81,75,6.17,CL,1731181295
136,quellon,-43.1167,-73.6167,13.47,49,21,4.92,CL,1731181496
137,new norfolk,-42.7826,147.0587,9.84,60,98,2.61,AU,1731181497
138,papatowai,-46.5619,169.4708,11.93,59,97,0.73,NZ,1731181016
139,kuruman,-27.4524,23.4325,17.43,81,98,4.12,ZA,1731181500
140,idri,27.5,13.2667,19.41,38,0,3.3,LY,1731181501
141,sinabang,2.4803,96.3801,25.53,87,100,2.98,ID,1731181502
142,yuzhno-kurilsk,44.0306,145.8556,3.04,82,6,1.74,RU,1731181505
143,fortuna,40.5982,-124.1573,16.63,57,0,0.0,US,1731181506
144,jacmel,18.2342,-72.5347,26.92,82,100,3.15,HT,1731181378
